0,Title,Release Date,Duration,Gross
1,The Bourne Identity,2002,119,$121.66M
2,Catch Me If You Can,2002,141,$164.62M
3,Red Dragon,2002,124,$93.15M
4,The Pianist,2002,150,$32.57M
5,Harry Potter and the Chamber of Secrets,2002,161,$261.99M
6,Spider-Man,2002,121,$403.71M
7,City of God,2002,130,$7.56M
8,The Lord of the Rings: The Two Towers,2002,179,$342.55M
9,Star Wars: Episode II - Attack of the Clones,2002,142,$310.68M
10,The Count of Monte Cristo,2002,131,$54.23M
11,Secretary,2002,107,$4.06M
12,Signs,2002,106,$227.97M
13,Irreversible,2002,97,$0.75M
14,Unfaithful,2002,124,$52.80M
15,Resident Evil,2002,100,$40.12M
16,Scooby-Doo,2002,86,$153.29M
17,Ice Age,2002,81,$176.39M
18,Gangs of New York,2002,167,$77.81M
19,Road to Perdition,2002,117,$104.45M
20,28 Days Later,2002,113,$45.06M
21,The Ring,2002,115,$129.13M
22,8 Mile,2002,110,$116.72M
23,Lilo & Stitch,2002,85,$145.79M
24,Minority Report,2002,145,$132.07M
25,Chicago,2002,113,$170.69M
26,Sweet Home Alabama,2002,108,$127.22M
27,Austin Powers in Goldmember,2002,94,$213.31M
28,Ghost Ship,2002,91,$30.11M
29,Insomnia,2002,118,$67.36M
30,Men in Black II,2002,88,$190.42M
31,Treasure Planet,2002,95,$38.18M
32,About a Boy,2002,101,$41.39M
33,A Walk to Remember,2002,101,$41.28M
34,Equilibrium,2002,107,$1.20M
35,Adaptation.,2002,115,$22.25M
36,Punch-Drunk Love,2002,95,$17.84M
37,Star Trek: Nemesis,2002,116,$43.25M
38,We Were Soldiers,2002,138,$78.12M
39,Mr. Deeds,2002,96,$126.29M
40,The Time Machine,2002,96,$56.68M
41,My Big Fat Greek Wedding,2002,95,$241.44M
42,Phone Booth,2002,81,$46.57M
43,Killing Me Softly,2002,100,
44,Blade II,2002,117,$82.35M
45,The Hot Chick,2002,104,$35.08M
46,Bend It Like Beckham,2002,112,$32.54M
47,Reign of Fire,2002,101,$43.06M
48,Panic Room,2002,112,$96.40M
49,Die Another Day,2002,133,$160.94M
50,National Lampoon's Van Wilder,2002,92,$21.01M
51,The Hours,2002,110,$41.68M
52,xXx,2002,124,$142.11M
53,Spirit: Stallion of the Cimarron,2002,83,$73.28M
54,Hero,2002,120,$53.71M
55,John Q,2002,116,$71.76M
56,Murder by Numbers,2002,115,$31.95M
57,One Hour Photo,2002,96,$31.60M
58,The Scorpion King,2002,92,$91.05M
59,The Rules of Attraction,2002,110,$6.53M
60,Frida,2002,123,$25.89M
61,Asterix & Obelix: Mission Cleopatra,2002,107,$3.12M
62,The Transporter,2002,92,$25.30M
63,Cabin Fever,2002,93,$21.16M
64,Halloween: Resurrection,2002,90,$30.35M
65,Ken Park,2002,93,
66,The Master of Disguise,2002,80,$40.36M
67,Two Weeks Notice,2002,101,$93.35M
68,The Sum of All Fears,2002,124,$118.91M
69,The Rookie,2002,127,$75.60M
70,Maid in Manhattan,2002,105,$94.01M
71,About Schmidt,2002,125,$65.02M
72,Better Luck Tomorrow,2002,101,$3.80M
73,Queen of the Damned,2002,101,$30.34M
74,The New Guy,2002,88,$28.97M
75,Spun,2002,101,$0.41M
76,High Crimes,2002,115,$41.54M
77,Like Mike,2002,99,$51.43M
78,25th Hour,2002,135,$13.06M
79,Igby Goes Down,2002,98,$4.68M
80,Dog Soldiers,2002,105,
81,Confessions of a Dangerous Mind,2002,113,$16.00M
82,Enough,2002,115,$40.01M
83,The Sweetest Thing,2002,84,$24.72M
84,40 Days and 40 Nights,2002,96,$37.95M
85,Spy Kids 2: Island of Lost Dreams,2002,100,$85.85M
86,Blue Crush,2002,104,$40.39M
87,Ali G Indahouse,2002,85,
88,Sympathy for Mr. Vengeance,2002,129,$0.05M
89,Infernal Affairs,2002,101,$0.17M
90,Talk to Her,2002,112,$9.28M
91,K-19: The Widowmaker,2002,138,$35.17M
92,Solaris,2002,99,$14.97M
93,Crossroads,2002,93,$37.19M
94,Hart's War,2002,125,$19.08M
95,Femme Fatale,2002,114,$6.59M
96,Eight Legged Freaks,2002,99,$17.32M
97,The Cat Returns,2002,75,
98,Far from Heaven,2002,107,$15.85M
99,Dahmer,2002,101,$0.14M
100,Paid in Full,2002,97,$3.04M
101,The Mothman Prophecies,2002,119,$35.75M
102,Divine Secrets of the Ya-Ya Sisterhood,2002,116,$69.60M
103,May,2002,93,$0.15M
104,Orange County,2002,82,$41.03M
105,24 Hour Party People,2002,117,$1.13M
106,Big Fat Liar,2002,88,$48.36M
107,Tuck Everlasting,2002,90,$19.16M
108,Bubba Ho-Tep,2002,92,$2.00M
109,Kung Pow: Enter the Fist,2002,81,$16.03M
110,Untold,2002,86,
111,The Spanish Apartment,2002,122,$3.90M
112,Lilya 4-Ever,2002,109,$0.18M
113,Drumline,2002,118,$56.40M
114,The Tuxedo,2002,98,$50.55M
115,Cube²: Hypercube,2002,94,
116,Antwone Fisher,2002,120,$21.08M
117,City by the Sea,2002,108,$22.43M
118,Swept Away,2002,89,$0.01M
119,Nicholas Nickleby,2002,132,$1.59M
120,Interstate 60: Episodes of the Road,2002,116,
121,Pumpkin,2002,113,$0.31M
122,Dark Blue,2002,118,$9.06M
123,Boat Trip,2002,94,$8.59M
124,Secret Things,2002,115,$0.10M
125,The Good Girl,2002,93,$14.02M
126,Life or Something Like It,2002,103,$14.45M
127,Death to Smoochy,2002,109,$8.36M
128,Eye See You,2002,96,$0.08M
129,S1m0ne,2002,117,$9.68M
130,White Oleander,2002,109,$16.35M
131,Survival Island,2002,85,
132,Undisputed,2002,94,$12.76M
133,Windtalkers,2002,134,$40.91M
134,Ju-on: The Grudge,2002,92,$0.33M
135,Friday After Next,2002,85,$32.98M
136,The Importance of Being Earnest,2002,97,$8.38M
137,Whale Rider,2002,101,$20.78M
138,Devdas,2002,185,$3.50M
139,The Adventures of Pluto Nash,2002,95,$4.42M
140,Changing Lanes,2002,98,$66.82M
141,Rabbit-Proof Fence,2002,94,$6.17M
142,Auto Focus,2002,105,$2.06M
143,Blood Work,2002,110,$26.20M
144,Undercover Brother,2002,86,$38.23M
145,Barbershop,2002,102,$75.78M
146,The Twilight Samurai,2002,129,
147,Deathwatch,2002,94,
148,Peter Pan 2: Return to Never Land,2002,72,$48.43M
149,Dirty Pretty Things,2002,97,$8.11M
150,The Four Feathers,2002,132,$18.31M
151,Bad Company,2002,116,$30.16M
152,Eight Crazy Nights,2002,76,$23.44M
153,Sorority Boys,2002,93,$10.20M
154,Collateral Damage,2002,108,$40.08M
155,Spider,2002,98,$1.64M
156,Snow Dogs,2002,99,$81.17M
157,The Salton Sea,2002,103,$0.76M
158,Stuart Little 2,2002,77,$64.96M
159,Clockstoppers,2002,94,$36.99M
160,Swingers,2002,93,
161,8 Women,2002,111,$3.08M
162,Swimfan,2002,85,$28.56M
163,The Magdalene Sisters,2002,114,$4.89M
164,Big Trouble,2002,85,$7.26M
165,Dragonfly,2002,104,$30.32M
166,Rollerball,2002,98,$18.99M
167,Fubar,2002,76,
168,Poolhall Junkies,2002,99,$0.56M
169,Below,2002,105,$0.61M
170,Tiptoes,2002,90,
171,The Quiet American,2002,101,$12.99M
172,Serving Sara,2002,99,$16.93M
173,Narc,2002,105,$10.46M
174,In America,2002,105,$15.54M
175,Black Angel,2002,128,
176,Perfect Blue,2002,103,
177,The Santa Clause 2,2002,104,$139.24M
178,Slackers,2002,86,$4.81M
179,Laurel Canyon,2002,103,$3.66M
180,Russian Ark,2002,99,$0.04M
181,The Dangerous Lives of Altar Boys,2002,104,$1.78M
182,They,2002,89,$12.84M
183,The Devils,2002,105,
184,Analyze That,2002,96,$32.12M
185,Dark Water,2002,101,
186,All About the Benjamins,2002,95,$25.48M
187,XX/XY,2002,91,$0.10M
188,Juwanna Mann,2002,91,$13.57M
189,Gerry,2002,103,$0.24M
190,The Country Bears,2002,88,$16.99M
191,Trapped,2002,106,$0.06M
192,Brown Sugar,2002,109,$27.36M
193,The Powerpuff Girls Movie,2002,73,$11.41M
194,Ted Bundy,2002,99,$0.01M
195,Feardotcom,2002,101,$13.21M
196,Showtime,2002,95,$38.08M
197,Real Women Have Curves,2002,90,$5.84M
198,Ripley's Game,2002,110,
199,The Man Without a Past,2002,97,$0.92M
200,Bloody Sunday,2002,111,$0.77M
201,Thirteen,2003,100,$4.60M
